City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,kismayo,-0.36,42.55,78.8,83,37,14.27,SO,1590207689
88,moose factory,51.26,-80.61,32.0,82,40,4.7,CA,1590207689
89,storm lake,42.64,-95.21,60.8,100,90,12.75,US,1590207689
90,port alfred,-33.59,26.89,60.01,93,96,3.0,ZA,1590207690
91,bowling green,36.99,-86.44,69.8,83,1,4.29,US,1590207690
92,farah,32.5,62.5,78.04,18,0,3.33,AF,1590207690
93,butaritari,3.07,172.79,83.21,80,100,16.04,KI,1590207690
94,raudeberg,61.99,5.14,51.01,85,99,18.86,NO,1590207690
95,santa maria,-29.68,-53.81,62.6,82,75,9.17,BR,1590207691
96,eyl,7.98,49.82,87.03,57,13,22.88,SO,1590207691
97,puerto madryn,-42.77,-65.04,51.85,43,25,17.36,AR,1590207691
98,huangchuan,32.13,115.04,94.23,33,0,10.29,CN,1590207691
99,bethel,41.37,-73.41,64.99,93,90,3.36,US,1590207692
100,bluff,-46.6,168.33,52.3,78,61,4.09,NZ,1590207521
101,sioux lookout,50.1,-91.92,62.6,72,90,3.36,CA,1590207692
102,rio gallegos,-51.62,-69.22,48.25,76,100,17.05,AR,1590207692
103,luderitz,-26.65,15.16,55.4,82,0,8.05,NA,1590207692
104,mangrol,21.12,70.12,88.18,61,0,14.72,IN,1590207692
105,esperance,-33.87,121.9,68.0,40,70,12.75,AU,1590207692
106,mulege,26.88,-111.98,73.69,40,1,6.8,MX,1590207692
107,qeshm,26.96,56.27,91.4,40,40,4.7,IR,1590207693
108,turukhansk,65.82,87.98,76.35,34,0,10.67,RU,1590207693
109,norman wells,65.28,-126.83,62.6,36,20,4.7,CA,1590207693
110,saint george,37.1,-113.58,78.8,10,1,17.22,US,1590207693
111,ballina,-28.87,153.57,62.6,55,100,9.17,AU,1590207693
112,gudari,19.35,83.78,100.08,37,37,4.47,IN,1590207693
113,aykino,62.22,49.99,42.08,88,100,7.36,RU,1590207693
114,necochea,-38.55,-58.74,50.0,82,5,1.99,AR,1590207693
115,erzin,36.96,36.2,69.8,56,75,14.99,TR,1590207693
116,ercis,39.03,43.36,68.0,47,40,21.92,TR,1590207693
117,saint-ambroise,48.55,-71.33,46.4,33,5,4.7,CA,1590207693
118,saint stephen,50.33,-4.9,54.0,87,0,18.34,GB,1590207693
119,victoria,22.29,114.16,78.01,88,99,5.01,HK,1590207498
120,puerto escondido,15.85,-97.07,82.51,71,0,4.94,MX,1590207693
121,toktogul,41.87,72.94,68.83,42,0,0.89,KG,1590207426
122,malpe,13.35,74.72,87.8,70,40,6.93,IN,1590207693
123,carnarvon,-24.87,113.63,79.3,25,0,18.28,AU,1590207694
124,sao filipe,14.9,-24.5,73.81,72,0,4.54,CV,1590207694
125,batsfjord,70.63,29.72,38.82,89,77,12.48,NO,1590207694
126,fortuna,40.6,-124.16,54.0,87,1,9.17,US,1590207694
127,nikolskoye,59.7,30.79,46.4,61,0,2.13,RU,1590207694
128,yuanping,38.72,112.76,74.86,20,16,13.58,CN,1590207694
129,cidreira,-30.18,-50.21,64.76,96,59,3.67,BR,1590207694
130,ikalamavony,-21.15,46.58,56.48,82,25,5.35,MG,1590207694
131,saint cloud,45.56,-94.16,61.0,77,90,3.36,US,1590207694
132,panama city,8.99,-79.52,75.2,94,100,5.82,PA,1590207617
133,lebu,-37.62,-73.65,50.94,64,90,7.18,CL,1590207695
134,hervey bay,-25.3,152.85,55.0,82,100,4.0,AU,1590207650
135,lata,40.16,-8.33,61.0,90,87,3.31,PT,1590207695
136,bima,-8.47,118.72,84.67,77,23,1.48,ID,1590207695
137,chuy,-33.7,-53.46,61.45,84,100,22.7,UY,1590207695
138,chokurdakh,70.63,147.92,28.09,96,81,4.72,RU,1590207695
139,chifeng,42.27,118.96,62.73,54,54,13.24,CN,1590207695
140,gorin,51.2,136.67,62.53,35,0,7.02,RU,1590207695
141,laiwu,36.19,117.66,91.54,31,60,16.6,CN,1590207695
142,bell ville,-32.63,-62.69,42.94,64,73,9.44,AR,1590207695
143,port blair,11.67,92.75,87.35,68,93,4.14,IN,1590207695
144,katsuura,35.13,140.3,71.01,71,100,1.01,JP,1590207695
145,sola,-13.88,167.55,84.2,66,75,5.82,VU,1590207696
146,lompoc,34.64,-120.46,53.6,81,20,8.05,US,1590207510
147,labuhan,-6.88,112.21,86.14,72,18,1.03,ID,1590207696
148,severo-kurilsk,50.68,156.12,43.57,62,36,14.32,RU,1590207696
149,sakakah,29.97,40.21,82.4,21,0,14.99,SA,1590207696
150,chokwe,-24.53,32.98,60.6,95,0,3.42,MZ,1590207696
151,pisco,-13.7,-76.22,61.0,87,15,3.36,PE,1590207696
152,wattegama,6.8,81.48,86.0,84,40,14.99,LK,1590207696
153,ndende,-2.4,11.36,73.15,97,38,1.61,GA,1590207436
154,olafsvik,64.89,-23.71,44.74,74,97,15.97,IS,1590207696
155,ziro,27.63,93.83,55.42,100,100,2.17,IN,1590207696
156,vostok,46.49,135.88,61.9,46,100,5.57,RU,1590207697
157,luanda,-8.84,13.23,75.2,94,20,1.12,AO,1590207697
158,lasa,46.62,10.7,51.8,76,96,3.36,IT,1590207697
159,coffs harbour,-30.3,153.13,66.99,52,75,8.05,AU,1590207697
160,la ronge,55.1,-105.28,51.8,81,75,8.05,CA,1590207697
161,pangnirtung,66.15,-65.71,20.59,88,55,2.68,CA,1590207697
162,piopio,-38.47,175.02,52.0,72,100,0.83,NZ,1590207697
163,altagracia de orituco,9.86,-66.38,74.68,78,55,4.18,VE,1590207697
164,lavrentiya,65.58,-171.0,35.1,96,100,6.58,RU,1590207697
165,tulun,54.56,100.58,71.56,26,0,4.25,RU,1590207697
166,ribeira grande,38.52,-28.7,61.5,85,100,9.55,PT,1590207697
167,port lincoln,-34.73,135.87,58.51,67,94,15.75,AU,1590207697
168,belyy yar,53.6,91.39,69.8,52,100,2.24,RU,1590207697
169,salalah,17.02,54.09,87.8,70,20,1.12,OM,1590207698
170,faanui,-16.48,-151.75,80.1,76,2,24.49,PF,1590207698
171,los llanos de aridane,28.66,-17.92,66.2,77,52,14.99,ES,1590207698
172,ostrovnoy,68.05,39.51,35.8,83,0,11.25,RU,1590207665
173,ilheus,-14.79,-39.05,71.65,94,30,4.21,BR,1590207698
174,hithadhoo,-0.6,73.08,84.16,79,100,16.91,MV,1590207698
175,kharp,66.8,65.81,52.11,67,79,14.09,RU,1590207698
176,rawson,-43.3,-65.1,50.36,45,45,13.11,AR,1590207698
177,aracataca,10.59,-74.19,75.99,87,79,8.21,CO,1590207698
178,fairbanks,64.84,-147.72,61.0,36,90,12.75,US,1590207504
179,methoni,36.82,21.7,61.0,82,40,2.44,GR,1590207698
180,atuona,-9.8,-139.03,80.96,76,96,16.15,PF,1590207698
181,darhan,49.49,105.92,63.64,36,49,9.51,MN,1590207698
182,saint anthony,45.02,-93.22,64.4,68,90,5.77,US,1590207698
183,arraial do cabo,-22.97,-42.03,73.45,83,57,18.5,BR,1590207654
184,tiksi,71.69,128.87,38.75,88,100,11.52,RU,1590207699
185,new norfolk,-42.78,147.06,55.0,86,60,2.8,AU,1590207699
186,saint-philippe,-21.36,55.77,73.4,60,50,8.05,RE,1590207542
187,pasir gudang,1.46,103.88,84.2,78,75,5.82,MY,1590207699
188,presidencia roque saenz pena,-26.79,-60.44,47.3,72,27,10.04,AR,1590207699
189,chapais,49.78,-74.85,37.4,55,1,5.82,CA,1590207699
190,caravelas,-17.71,-39.25,72.68,93,0,1.57,BR,1590207699
191,cabo san lucas,22.89,-109.91,78.01,59,5,1.01,MX,1590207699
192,souillac,-20.52,57.52,75.2,64,20,14.99,MU,1590207699
193,kununurra,-15.77,128.73,71.6,40,40,13.87,AU,1590207699
194,sembakung,3.82,117.25,94.66,50,93,0.92,ID,1590207699
195,kondagaon,19.6,81.67,98.91,12,37,8.21,IN,1590207699
196,tolaga bay,-38.37,178.3,56.16,75,9,6.4,NZ,1590207700
197,bjornevatn,69.67,29.98,46.4,49,49,23.04,NO,1590207700
198,airai,-8.93,125.41,65.57,100,100,2.84,TL,1590207700
199,calvinia,-31.47,19.78,51.28,55,0,2.24,ZA,1590207700
200,campo grande,-20.44,-54.65,55.4,100,75,11.41,BR,1590207700
201,torbay,47.67,-52.73,35.01,87,20,11.41,CA,1590207700
202,gravdal,68.12,13.5,46.4,72,39,15.03,NO,1590207700
203,sahuaripa,29.05,-109.23,75.06,22,0,6.64,MX,1590207700
204,alofi,-19.06,-169.92,80.6,94,100,3.36,NU,1590207700
205,clyde river,70.47,-68.59,21.2,92,90,4.7,CA,1590207700
206,dikson,73.51,80.55,39.29,100,99,15.9,RU,1590207700
207,karratha,-20.74,116.85,77.61,34,0,25.5,AU,1590207700
208,waipawa,-41.41,175.52,57.99,60,70,4.0,NZ,1590207701
209,teya,60.38,92.63,79.36,19,0,5.77,RU,1590207701
210,riyadh,24.69,46.72,80.6,22,0,3.36,SA,1590207680
211,shingu,33.73,135.98,71.6,73,75,6.93,JP,1590207701
212,bristol,41.83,-71.17,66.0,77,1,4.7,US,1590207541
213,narsaq,60.92,-46.05,51.8,29,99,21.92,GL,1590207701
214,mehamn,71.04,27.85,40.78,78,21,4.18,NO,1590207701
215,tochimilco,18.9,-98.57,65.19,43,62,3.83,MX,1590207701
216,tasiilaq,65.61,-37.64,39.2,86,100,5.82,GL,1590207701
217,svetlaya,46.54,138.33,55.26,65,82,16.46,RU,1590207701
218,vardo,70.37,31.11,40.69,87,72,12.12,NO,1590207701
219,neiafu,-18.65,-173.98,78.8,78,90,4.7,TO,1590207701
220,lubango,-14.92,13.49,53.56,62,0,4.45,AO,1590207702
221,bredasdorp,-34.53,20.04,55.4,62,0,9.17,ZA,1590207702
222,ambon,-3.7,128.18,89.6,66,40,2.24,ID,1590207702
223,bereda,43.27,-7.54,55.99,98,91,7.0,ES,1590207702
224,alta floresta,-9.88,-56.09,71.55,95,7,2.21,BR,1590207702
225,deputatskiy,69.3,139.9,31.44,92,100,4.72,RU,1590207702
226,nerchinskiy zavod,51.31,119.61,64.47,28,86,9.89,RU,1590207702
227,san patricio,19.22,-104.7,74.8,85,7,7.23,MX,1590207702
228,constitucion,-35.33,-72.42,51.69,46,61,6.06,CL,1590207702
229,yeppoon,-23.13,150.73,53.6,87,90,3.36,AU,1590207702
230,mayo,38.89,-76.51,66.0,100,90,5.44,US,1590207702
231,borger,52.92,6.79,55.99,80,97,1.99,NL,1590207702
232,maningrida,-12.07,134.27,70.48,64,99,13.56,AU,1590207703
233,ous,60.91,61.52,51.58,82,96,7.27,RU,1590207703
234,kavieng,-2.57,150.8,83.75,77,29,5.44,PG,1590207703
235,mbarara,-0.61,30.65,59.22,92,99,3.18,UG,1590207703
236,sao joao da barra,-21.64,-41.05,71.29,89,32,12.41,BR,1590207703
237,pangody,65.85,74.49,63.75,44,37,20.96,RU,1590207703
238,batagay,67.63,134.63,46.85,49,100,5.79,RU,1590207703
239,sur,22.57,59.53,90.88,42,1,6.53,OM,1590207703
240,ahipara,-35.17,173.17,61.43,61,100,3.15,NZ,1590207703
241,okha,53.57,142.95,36.73,95,100,6.93,RU,1590207703
242,college,64.86,-147.8,61.0,36,75,13.87,US,1590207703
243,santa quiteria,-4.33,-40.16,71.55,95,1,2.37,BR,1590207703
244,port-gentil,-0.72,8.78,80.44,85,0,12.46,GA,1590207703
245,hami,42.8,93.45,75.81,24,0,8.37,CN,1590207704
246,vao,-22.67,167.48,72.77,71,100,14.79,NC,1590207704
247,la fleche,47.7,-0.08,57.2,82,100,2.24,FR,1590207704
248,gizo,-8.1,156.84,84.9,73,100,6.98,SB,1590207704
249,khatanga,71.97,102.5,67.6,50,14,7.61,RU,1590207704
250,puerto ayacucho,5.66,-67.62,75.58,94,94,3.13,VE,1590207704
251,wiarton,44.74,-81.13,55.4,87,5,4.7,CA,1590207704
252,ipixuna,-1.76,-48.8,75.2,100,20,4.7,BR,1590207704
253,ilinskoye-khovanskoye,56.97,39.77,41.0,93,100,8.95,RU,1590207704
254,iqaluit,63.75,-68.51,26.6,86,90,19.46,CA,1590207704
255,hessisch oldendorf,52.17,9.25,59.0,82,100,9.17,DE,1590207704
256,chicama,-7.84,-79.15,66.36,80,66,4.36,PE,1590207427
257,agadez,19.75,10.25,80.74,20,1,3.0,NE,1590207704
258,tautira,-17.73,-149.15,82.4,61,75,3.36,PF,1590207705
259,paita,-5.09,-81.11,67.1,80,24,11.36,PE,1590207705
260,taksimo,56.34,114.88,60.67,39,96,10.96,RU,1590207705
261,daru,-9.08,143.21,82.63,82,100,6.98,PG,1590207705
262,cockburn town,21.46,-71.14,80.4,84,97,16.4,TC,1590207558
263,sohag,26.56,31.69,80.11,29,0,14.32,EG,1590207705
264,lahuachaca,-17.37,-67.67,42.21,73,94,5.5,BO,1590207705
265,bandarbeyla,9.49,50.81,87.26,55,0,19.39,SO,1590207705
266,yerazgavors,40.7,43.75,59.0,58,40,3.36,AM,1590207705
267,bluefields,12.01,-83.76,79.79,88,97,3.04,NI,1590207705
268,flinders,-34.58,150.86,62.01,69,100,7.0,AU,1590207705
269,west bay,19.37,-81.42,82.0,82,96,1.99,KY,1590207706
270,kundiawa,-6.02,144.97,75.22,68,99,2.55,PG,1590207706
271,progreso,21.28,-89.67,79.0,88,90,9.17,MX,1590207706
272,cap malheureux,-19.98,57.61,75.99,67,1,8.99,MU,1590207706
273,tete,-16.16,33.59,55.4,87,20,1.43,MZ,1590207706
274,muros,42.78,-9.06,57.0,86,85,5.01,ES,1590207706
275,san quintin,30.48,-115.95,61.66,81,34,10.33,MX,1590207706
276,grindavik,63.84,-22.43,44.6,75,91,11.41,IS,1590207706
277,werda,-25.27,23.28,52.97,51,0,3.65,BW,1590207706
278,fayaoue,-20.65,166.53,74.7,64,100,9.64,NC,1590207706
279,tanabe,33.73,135.37,71.6,73,75,6.93,JP,1590207706
280,belaya gora,68.53,146.42,40.78,60,99,3.18,RU,1590207706
281,turayf,31.67,38.66,71.6,24,20,11.41,SA,1590207706
282,pevek,69.7,170.31,30.61,96,90,4.7,RU,1590207707
283,aklavik,68.22,-135.01,53.6,34,5,9.17,CA,1590207602
284,korla,41.76,86.15,75.7,21,0,2.75,CN,1590207707
285,tuatapere,-46.13,167.68,53.04,74,96,1.21,NZ,1590207707
286,poum,-20.23,164.02,75.24,73,100,20.38,NC,1590207707
287,svirstroy,60.8,33.72,38.48,76,0,5.28,RU,1590207707
288,chandbali,20.78,86.77,90.97,69,31,13.53,IN,1590207707
289,pocoes,-14.53,-40.37,62.96,98,40,3.74,BR,1590207427
290,broken hill,-31.95,141.43,57.2,76,40,21.92,AU,1590207707
291,simao,22.79,100.97,89.73,35,21,3.44,CN,1590207707
292,bengkulu,-3.8,102.27,85.78,62,96,6.17,ID,1590207707
293,lucapa,-8.42,20.74,65.03,67,1,4.52,AO,1590207707
294,kushima,31.46,131.23,73.4,64,75,10.29,JP,1590207708
295,senneterre,48.38,-77.23,55.4,32,1,6.93,CA,1590207708
296,wittingen,52.73,10.74,59.0,100,100,4.7,DE,1590207708
297,srednekolymsk,67.45,153.68,39.09,66,99,7.07,RU,1590207708
298,tura,25.52,90.22,83.03,80,34,1.68,IN,1590207708
299,altay,47.87,88.12,66.6,39,0,4.81,CN,1590207708
300,piney green,34.72,-77.32,69.01,88,1,6.93,US,1590207708
301,huayucachi,-12.13,-75.23,47.61,74,46,2.68,PE,1590207708
302,alihe,50.57,123.72,65.55,31,38,7.78,CN,1590207708
303,guaimaro,21.05,-77.35,71.6,100,100,6.93,CU,1590207708
304,provideniya,64.38,-173.3,42.89,73,97,10.96,RU,1590207708
305,morros,-9.45,-46.3,72.03,82,7,3.83,BR,1590207425
306,sagua la grande,22.81,-80.08,71.6,100,75,3.36,CU,1590207708
307,yuli,9.7,10.27,78.78,67,97,4.7,NG,1590207709
308,seoul,37.57,126.98,77.0,50,75,5.82,KR,1590207575
309,bogdana,43.93,25.08,50.29,79,93,6.35,RO,1590207709
310,bedele,8.46,36.35,56.97,100,97,1.7,ET,1590207709
311,antofagasta,-23.65,-70.4,59.0,82,90,6.93,CL,1590207709
312,gimli,50.63,-96.99,66.0,68,72,11.16,CA,1590207709
313,cascas,-7.48,-78.82,68.02,64,76,1.34,PE,1590207709
314,rivers,50.03,-100.24,68.0,64,75,11.41,CA,1590207709
315,monte alegre,-2.01,-54.07,74.55,97,89,2.84,BR,1590207709
316,muzhi,65.37,64.67,53.74,68,70,11.43,RU,1590207709
317,aksu,41.12,80.26,77.63,18,0,0.89,CN,1590207709
318,batagay-alyta,67.8,130.41,48.31,45,100,5.37,RU,1590207709
319,kahului,20.89,-156.47,80.6,61,20,19.46,US,1590207603
320,champerico,14.3,-91.92,84.02,72,68,0.18,GT,1590207709
321,isangel,-19.55,169.27,77.0,61,81,4.7,VU,1590207709
322,thyolo,-16.07,35.14,52.68,100,36,0.74,MW,1590207710
323,agustin codazzi,10.03,-73.24,77.07,79,100,3.06,CO,1590207710
324,laurel,39.1,-76.85,66.99,93,90,3.96,US,1590207710
325,grand gaube,-20.01,57.66,75.99,67,1,8.99,MU,1590207710
326,tabas,33.6,56.92,80.6,12,0,6.93,IR,1590207710
327,kapra,17.48,78.56,96.8,25,20,5.82,IN,1590207710
328,weyburn,49.67,-103.85,61.0,44,3,8.01,CA,1590207710
329,bocaiuva,-17.11,-43.81,63.84,88,48,3.38,BR,1590207710
330,baghdad,33.34,44.4,86.0,23,0,19.46,IQ,1590207628
331,santa isabel do rio negro,-0.41,-65.02,74.89,98,99,1.79,BR,1590207710
332,adrar,20.5,-10.07,84.9,13,0,7.31,MR,1590207710
333,balkhash,46.84,74.98,78.8,22,27,8.95,KZ,1590207710
334,maua,-23.67,-46.46,72.0,56,97,6.93,BR,1590207710
335,codrington,-38.27,141.97,54.5,84,99,17.9,AU,1590207711
336,rafaela,-31.25,-61.49,46.0,67,92,7.0,AR,1590207441
337,jardim,-21.48,-56.14,54.63,84,100,13.53,BR,1590207711
338,ust-nera,64.57,143.2,45.91,55,88,2.98,RU,1590207711
339,pangkalanbuun,-2.68,111.62,93.87,46,40,2.89,ID,1590207711
340,barra do garcas,-15.89,-52.26,71.74,89,68,1.86,BR,1590207711
341,buchanan,5.88,-10.05,71.6,94,75,5.82,LR,1590207711
342,kirillov,59.86,38.38,37.94,77,54,7.81,RU,1590207711
343,guerrero negro,27.98,-114.06,61.54,84,18,17.31,MX,1590207711
344,rehoboth,-23.32,17.08,49.12,50,0,2.77,NA,1590207712
345,weiser,44.25,-116.97,53.6,46,1,18.34,US,1590207712
346,nome,64.5,-165.41,53.01,66,20,8.05,US,1590207712
347,mar del plata,-38.0,-57.56,55.0,87,0,3.36,AR,1590207712
348,kansanshi,-12.1,26.43,49.39,98,0,4.38,ZM,1590207712
349,praia da vitoria,38.73,-27.07,59.0,93,75,13.18,PT,1590207712
350,timbiqui,2.77,-77.67,76.32,93,86,3.47,CO,1590207712
351,ponta delgada,37.73,-25.67,62.6,88,75,3.36,PT,1590207518
352,san andres,12.58,-81.7,82.4,88,40,8.93,CO,1590207575
353,kloulklubed,7.04,134.26,87.8,70,75,8.05,PW,1590207712
354,richards bay,-28.78,32.04,61.86,89,0,5.53,ZA,1590207712
355,norrtalje,59.76,18.7,51.01,68,100,8.99,SE,1590207712
356,sterling,39.01,-77.43,66.2,88,90,3.76,US,1590207713
357,botou,38.07,116.57,77.68,40,74,13.82,CN,1590207713
358,nehe,48.48,124.83,70.23,29,87,8.66,CN,1590207713
359,padang,-0.95,100.35,87.21,58,81,5.23,ID,1590207415
360,berlevag,70.86,29.09,39.63,87,61,9.48,NO,1590207713
361,mutoko,-17.4,32.23,48.33,99,0,2.26,ZW,1590207713
362,monrovia,6.3,-10.8,71.6,94,75,5.82,LR,1590207713
363,kaitangata,-46.28,169.85,53.01,73,82,1.81,NZ,1590207713
364,de haan,51.27,3.04,55.4,71,100,14.99,BE,1590207713
365,severo-yeniseyskiy,60.37,93.04,75.81,21,0,5.97,RU,1590207713
366,makasar,-5.14,119.42,87.8,66,20,3.36,ID,1590207713
367,samarai,-10.62,150.67,81.81,83,99,9.57,PG,1590207714
368,pacific grove,36.62,-121.92,55.0,84,26,1.99,US,1590207714
369,yaan,7.38,8.57,74.7,93,84,4.61,NG,1590207714
370,patiya,22.29,91.98,92.19,55,19,7.92,BD,1590207714
371,san luis,-33.3,-66.34,39.43,66,0,9.35,AR,1590207714
372,kodinsk,58.69,99.18,81.88,24,12,2.93,RU,1590207714
373,cascais,38.7,-9.42,63.0,87,99,17.63,PT,1590207714
374,zyryanka,65.75,150.85,43.03,58,91,7.0,RU,1590207714
375,kurush,41.28,47.83,71.6,73,14,3.36,RU,1590207714
